centr_lat,centr_lon,country
30.8833,122.095,China
30.884,122.103,China
30.8865,122.112,China
30.8884,122.089,China
30.8892,122.121,China
30.8904,122.098,China
30.894,122.11,China
30.8951,122.085,China
30.8961,122.123,China
30.8972,122.094,China
30.8972,122.132,China
30.9007,122.106,China
30.9033,122.118,China
30.9044,122.09,China
30.9051,122.13,China
30.9077,122.101,China
30.9103,122.114,China
30.9109,122.138,China
30.9127,122.128,China
30.9134,122.095,China
30.917,122.109,China
30.9187,122.122,China
30.9196,122.142,China
30.9209,122.133,China
30.9227,122.099,China
30.9256,122.114,China
30.9264,122.144,China
30.9298,122.132,China
30.9333,122.141,China
30.935,122.105,China
30.9361,122.115,China
30.9366,122.128,China
30.9402,122.137,China
30.9411,122.148,China
30.9435,122.124,China
30.9446,122.11,China
30.9482,122.132,China
30.9483,122.144,China
30.9491,122.154,China
30.9503,122.12,China
30.9555,122.14,China
30.9564,122.15,China
30.957,122.127,China
30.9571,122.116,China
30.9609,122.158,China
30.9627,122.135,China
30.9636,122.145,China
30.9666,122.121,China
30.968,122.153,China
30.9699,122.131,China
30.97,122.162,China
30.9708,122.141,China
30.9753,122.149,China
30.9772,122.127,China
30.978,122.137,China
30.9837,122.129,China
